'eu', 'co', 'Europe'
'as', 'co', 'Asia'
'af', 'co', 'Africa'
'na', 'co', 'North America'
'sa', 'co', 'South America'
'au', 'co', 'Australia and Oceania'
'us', 'te', 'United States of America'
