'samar', 'sa', 'Argentina'
'sambo', 'sa', 'Bolivia'
'sambr', 'sa', 'Brazil'
'samch', 'sa', 'Chile'
'samco', 'sa', 'Colombia'
'samec', 'sa', 'Ecuador'
'samgu', 'sa', 'Guyana'
'sampa', 'sa', 'Paraguay'
'sampe', 'sa', 'Peru'
'samsu', 'sa', 'Suriname'
'samur', 'sa', 'Uruguay'
'samve', 'sa', 'Venezuela'
